time_step,value,decision_node
0,0.9999999968437463,3
1,1.759908670224612,4
2,2.393239979278952,3
3,2.153915981351057,2
4,1.9385243832159513,3
5,2.4956366417035314,1
6,3.0459190322535994,3
7,3.4662240881746964,3
8,3.9891586979110762,3
9,4.313891507510364,3
10,4.724611398558861,3
11,4.9428235458296905,3
12,5.317113800374074,3
13,5.49733786191485,3
14,5.8068621744011795,3
15,5.925343664290215,3
16,6.202129785936695,3
17,6.326671221275638,3
18,6.4965822656758805,3
19,6.5403179713855,3
20,6.643124488830191,3
21,6.6994432675666875,3
22,6.729680832490256,3
23,6.806549043220221,3
24,6.811041470838134,3
25,6.85616186441211,3
26,6.888193587883139,3
27,6.913491106694835,3
28,6.944258231270608,3
29,6.961356364370284,3
30,6.960742021029022,3
31,6.955305794582802,3
32,6.991058176422328,3
33,7.158491567285616,3
34,7.178879567955818,3
35,7.292663879893764,3
36,7.292213874747638,3
37,7.456700595880961,3
38,7.437050377455644,3
39,7.2290596246255445,2
40,6.653959231536174,1
41,6.51001758240706,1
42,6.290675483852048,1
43,6.2182624430130575,1
44,6.077123316558642,1
45,5.987165926540385,1
46,5.859219684251849,1
47,5.816959990303871,1
48,5.757554952297098,1
49,5.68489088982978,1
50,5.649326732750358,1
51,5.657822155155124,1
52,5.603406603873264,3
53,5.590679738980978,1
54,6.007330773853817,3
55,5.9715285510240905,3
56,6.309509351575343,3
57,6.291759551066489,3
58,6.583559713771825,3
59,6.592932375324238,3
60,6.792326221456394,3
61,6.7742037916379045,3
62,7.00803423546854,3
63,6.954783638801649,3
64,7.119364869770047,3
65,7.1005176007193676,3
66,7.237697445432906,3
67,7.211419252740513,3
68,7.2953920698739365,3
69,7.28321387661882,3
70,7.3865890013013145,3
71,7.3579746647926285,3
72,7.440637087224538,3
73,7.432459474621215,3
74,7.460385424604365,3
75,7.4639231230142995,3
76,7.463626475878067,3
77,7.490599154399416,3
78,7.513216013036181,3
79,7.541671025485765,3
80,7.532490681025524,3
81,7.549150352232637,3
82,7.532746019259675,3
83,7.555208606897603,3
84,7.551167128943225,3
85,7.565968967774308,3
86,7.576981084898647,3
87,7.549506288684491,3
88,7.57342610354176,3
89,7.569921518571413,3
90,7.584554505131381,3
91,7.532350712080667,3
92,7.5902748596196625,3
93,7.55298978725005,3
94,7.521793267607481,3
95,7.53649315246357,3
96,7.5394779397702125,3
97,7.538130878293888,3
98,7.56197712740294,3
